time,Method,Value,Data,Frequency
2012-01-21,Original,98.3004748911569,Media,Daily
2012-01-21,Linear,-1.3847004971166,Media,Daily
2012-01-21,Loess (0.1),-1.32059074331808,Media,Daily
2012-01-21,Loess (0.25),-0.672251497260632,Media,Daily
2012-01-21,First Difference,-1.7467181439994,Media,Daily
2012-01-22,Original,98.3810926516491,Media,Daily
2012-01-22,Linear,-1.30419397307937,Media,Daily
2012-01-22,Loess (0.1),-1.23215215522629,Media,Daily
2012-01-22,Loess (0.25),-0.592777151181963,Media,Daily
2012-01-22,First Difference,0.0806177604922738,Media,Daily
2012-01-23,Original,100.300555545751,Media,Daily
2012-01-23,Linear,0.615157684567925,Media,Daily
2012-01-23,Loess (0.1),0.695102626212716,Media,Daily
2012-01-23,Loess (0.25),1.32554156960272,Media,Daily
2012-01-23,First Difference,1.91946289410234,Media,Daily
2012-01-24,Original,99.9836760117381,Media,Daily
2012-01-24,Linear,0.298166914099515,Media,Daily
2012-01-24,Loess (0.1),0.385986476770427,Media,Daily
2012-01-24,Loess (0.25),1.00751705609869,Media,Daily
2012-01-24,First Difference,-0.316879534013367,Media,Daily
2012-01-25,Original,99.6279806805964,Media,Daily
2012-01-25,Linear,-0.057639653497231,Media,Daily
2012-01-25,Loess (0.1),0.038026464931292,Media,Daily
2012-01-25,Loess (0.25),0.650675892024381,Media,Daily
2012-01-25,First Difference,-0.355695331141703,Media,Daily
2012-01-26,Original,100.304604130061,Media,Daily
2012-01-26,Linear,0.618872559512767,Media,Daily
2012-01-26,Loess (0.1),0.722357605927513,Media,Daily
2012-01-26,Loess (0.25),1.32615260784596,Media,Daily
2012-01-26,First Difference,0.676623449465041,Media,Daily
2012-01-27,Original,98.8336835877461,Media,Daily
2012-01-27,Linear,-0.852159219257574,Media,Daily
2012-01-27,Loess (0.1),-0.7408824351308,Media,Daily
2012-01-27,Loess (0.25),-0.145915616092623,Media,Daily
2012-01-27,First Difference,-1.4709205423153,Media,Daily
2012-01-28,Original,100.34663043127,Media,Daily
2012-01-28,Linear,0.660676387811687,Media,Daily
2012-01-28,Loess (0.1),0.779718156873429,Media,Daily
2012-01-28,Loess (0.25),1.36588255055966,Media,Daily
2012-01-28,First Difference,1.5129468435243,Media,Daily
2012-01-29,Original,100.435352622712,Media,Daily
2012-01-29,Linear,0.74928734279788,Media,Daily
2012-01-29,Loess (0.1),0.876067781514692,Media,Daily
2012-01-29,Loess (0.25),1.45345502261118,Media,Daily
2012-01-29,First Difference,0.0887221914412351,Media,Daily
2012-01-30,Original,100.154368673392,Media,Daily
2012-01-30,Linear,0.468192157023289,Media,Daily
2012-01-30,Loess (0.1),0.602685387612397,Media,Daily
2012-01-30,Loess (0.25),1.17132026411532,Media,Daily
2012-01-30,First Difference,-0.280983949319548,Media,Daily
2012-01-31,Original,99.5481307082993,Media,Daily
2012-01-31,Linear,-0.138157044524599,Media,Daily
2012-01-31,Loess (0.1),0.00402353765115038,Media,Daily
2012-01-31,Loess (0.25),0.563930352790578,Media,Daily
2012-01-31,First Difference,-0.606237965092845,Media,Daily
2012-02-01,Original,98.6963976704634,Media,Daily
2012-02-01,Linear,-0.990001318815541,Media,Daily
2012-02-01,Loess (0.1),-0.840158387841598,Media,Daily
2012-02-01,Loess (0.25),-0.288955815601668,Media,Daily
2012-02-01,First Difference,-0.851733037835899,Media,Daily
2012-02-02,Original,98.2799252659333,Media,Daily
2012-02-02,Linear,-1.40658495980064,Media,Daily
2012-02-02,Loess (0.1),-1.24910424531986,Media,Daily
2012-02-02,Loess (0.25),-0.706582582281513,Media,Daily
2012-02-02,First Difference,-0.416472404530055,Media,Daily
2012-02-03,Original,98.24531537082,Media,Daily
2012-02-03,Linear,-1.44130609136899,Media,Daily
2012-02-03,Loess (0.1),-1.27621172117557,Media,Daily
2012-02-03,Loess (0.25),-0.742348118406937,Media,Daily
2012-02-03,First Difference,-0.0346098951133058,Media,Daily
2012-02-04,Original,98.3237644664102,Media,Daily
2012-02-04,Linear,-1.36296823223389,Media,Daily
2012-02-04,Loess (0.1),-1.19028389662485,Media,Daily
2012-02-04,Loess (0.25),-0.665055989960251,Media,Daily
2012-02-04,First Difference,0.0784490955901447,Media,Daily
2012-02-05,Original,98.3810926516491,Media,Daily
2012-02-05,Linear,-1.30575128344997,Media,Daily
2012-02-05,Loess (0.1),-1.12550023522522,Media,Daily
2012-02-05,Loess (0.25),-0.608886145264947,Media,Daily
2012-02-05,First Difference,0.0573281852389584,Media,Daily
2012-02-06,Original,98.7496309853281,Media,Daily
2012-02-06,Linear,-0.937324186226014,Media,Daily
2012-02-06,Loess (0.1),-0.749529240688318,Media,Daily
2012-02-06,Loess (0.25),-0.241507572798767,Media,Daily
2012-02-06,First Difference,0.368538333678998,Media,Daily
2012-02-07,Original,99.6279806805964,Media,Daily
2012-02-07,Linear,-0.0590857274127868,Media,Daily
2012-02-07,Loess (0.1),0.136230737632246,Media,Daily
2012-02-07,Loess (0.25),0.635680893318579,Media,Daily
2012-02-07,First Difference,0.87834969526827,Media,Daily
2012-02-08,Original,98.9991621487566,Media,Daily
2012-02-08,Linear,-0.688015495707613,Media,Daily
2012-02-08,Loess (0.1),-0.4851994514637,Media,Daily
2012-02-08,Loess (0.25),0.00569961712082545,Media,Daily
2012-02-08,First Difference,-0.628818531839784,Media,Daily
2012-02-09,Original,99.9155012348965,Media,Daily
2012-02-09,Linear,0.228212353977215,Media,Daily
2012-02-09,Loess (0.1),0.438506474608701,Media,Daily
2012-02-09,Loess (0.25),0.920874396426754,Media,Daily
2012-02-09,First Difference,0.916339086139871,Media,Daily
2012-02-10,Original,99.4092611912608,Media,Daily
2012-02-10,Linear,-0.278138926113485,Media,Daily
2012-02-10,Loess (0.1),-0.0603877944085838,Media,Daily
2012-02-10,Loess (0.25),0.413468436212256,Media,Daily
2012-02-10,First Difference,-0.506240043635657,Media,Daily
2012-02-11,Original,98.3237644664102,Media,Daily
2012-02-11,Linear,-1.36374688741918,Media,Daily
2012-02-11,Loess (0.1),-1.13855937245792,Media,Daily
2012-02-11,Loess (0.25),-0.673195862231083,Media,Daily
2012-02-11,First Difference,-1.08549672485066,Media,Daily
2012-02-12,Original,99.814297282623,Media,Daily
2012-02-12,Linear,0.126674692338607,Media,Daily
2012-02-12,Loess (0.1),0.359278400236363,Media,Daily
2012-02-12,Loess (0.25),0.816167676106275,Media,Daily
2012-02-12,First Difference,1.49053281621283,Media,Daily
2012-02-13,Original,98.7895559714767,Media,Daily
2012-02-13,Linear,-0.89817785526275,Media,Daily
2012-02-13,Loess (0.1),-0.658177707251241,Media,Daily
2012-02-13,Loess (0.25),-0.209744664467195,Media,Daily
2012-02-13,First Difference,-1.02474131114631,Media,Daily
2012-02-14,Original,99.0153723703614,Media,Daily
2012-02-14,Linear,-0.672472692833118,Media,Daily
2012-02-14,Loess (0.1),-0.425095420033429,Media,Daily
2012-02-14,Loess (0.25),0.0148989061696625,Media,Daily
2012-02-14,First Difference,0.225816398884675,Media,Daily
2012-02-15,Original,99.3485057775565,Media,Daily
2012-02-15,Linear,-0.339450522093026,Media,Daily
2012-02-15,Loess (0.1),-0.0847150023336099,Media,Daily
2012-02-15,Loess (0.25),0.346857639027377,Media,Daily
2012-02-15,First Difference,0.333133407195135,Media,Daily
2012-02-16,Original,99.6072788359268,Media,Daily
2012-02-16,Linear,-0.0807887001777884,Media,Daily
2012-02-16,Loess (0.1),0.181286626210039,Media,Daily
2012-02-16,Loess (0.25),0.604454129701736,Media,Daily
2012-02-16,First Difference,0.258773058370281,Media,Daily
2012-02-17,Original,99.5481307082993,Media,Daily
2012-02-17,Linear,-0.140048064260326,Media,Daily
2012-02-17,Loess (0.1),0.129349065921801,Media,Daily
2012-02-17,Loess (0.25),0.54412749375085,Media,Daily
2012-02-17,First Difference,-0.0591481276274948,Media,Daily
2012-02-18,Original,98.2428690977867,Media,Daily
2012-02-18,Linear,-1.44542091122793,Media,Daily
2012-02-18,Loess (0.1),-1.16871954258853,Media,Daily
2012-02-18,Loess (0.25),-0.762314612981456,Media,Daily
2012-02-18,First Difference,-1.30526161051256,Media,Daily
2012-02-19,Original,98.4592674497022,Media,Daily
2012-02-19,Linear,-1.22913379576744,Media,Daily
2012-02-19,Loess (0.1),-0.945145316510647,Media,Daily
2012-02-19,Loess (0.25),-0.547098792451052,Media,Daily
2012-02-19,First Difference,0.216398351915529,Media,Daily
2012-02-20,Original,99.4092611912608,Media,Daily
2012-02-20,Linear,-0.279251290663912,Media,Daily
2012-02-20,Loess (0.1),0.0120076088675773,Media,Daily
2012-02-20,Loess (0.25),0.401710335288172,Media,Daily
2012-02-20,First Difference,0.949993741558572,Media,Daily
2012-02-21,Original,99.3485057775565,Media,Daily
2012-02-21,Linear,-0.340117940823283,Media,Daily
2012-02-21,Loess (0.1),-0.0416048738626671,Media,Daily
2012-02-21,Loess (0.25),0.339768178061263,Media,Daily
2012-02-21,First Difference,-0.060755413704328,Media,Daily
2012-02-22,Original,98.9405130213328,Media,Daily
2012-02-22,Linear,-0.748221933502003,Media,Daily
2012-02-22,Loess (0.1),-0.44247051446068,Media,Daily
2012-02-22,Loess (0.25),-0.0694134986570703,Media,Daily
2012-02-22,First Difference,-0.407992756223678,Media,Daily
2012-02-23,Original,100.910277294544,Media,Daily
2012-02-23,Linear,1.22143110325434,Media,Daily
2012-02-23,Loess (0.1),1.53440549652508,Media,Daily
2012-02-23,Loess (0.25),1.89915962981854,Media,Daily
2012-02-23,First Difference,1.96976427321138,Media,Daily
2012-02-24,Original,100.304604130061,Media,Daily
2012-02-24,Linear,0.615646702316527,Media,Daily
2012-02-24,Loess (0.1),0.935829129462576,Media,Daily
2012-02-24,Loess (0.25),1.29229304909002,Media,Daily
2012-02-24,First Difference,-0.605673164482766,Media,Daily
2012-02-25,Original,98.3237644664102,Media,Daily
2012-02-25,Linear,-1.36530419778978,Media,Daily
2012-02-25,Loess (0.1),-1.03792823962543,Media,Daily
2012-02-25,Loess (0.25),-0.689742349585941,Media,Daily
2012-02-25,First Difference,-1.98083966365127,Media,Daily
2012-02-26,Original,97.951131262357,Media,Daily
2012-02-26,Linear,-1.73804863829803,Media,Daily
2012-02-26,Loess (0.1),-1.40349321447522,Media,Daily
2012-02-26,Loess (0.25),-1.06357365471172,Media,Daily
2012-02-26,First Difference,-0.372633204053201,Media,Daily
2012-02-27,Original,99.5951012802388,Media,Daily
2012-02-27,Linear,-0.094189856871271,Media,Daily
2012-02-27,Loess (0.1),0.247531404747321,Media,Daily
2012-02-27,Loess (0.25),0.579195848780685,Media,Daily
2012-02-27,First Difference,1.6439700178818,Media,Daily
2012-02-28,Original,100.124824952667,Media,Daily
2012-02-28,Linear,0.43542257910226,Media,Daily
2012-02-28,Loess (0.1),0.784296488151043,Media,Daily
2012-02-28,Loess (0.25),1.10771654623413,Media,Daily
2012-02-28,First Difference,0.529723672428574,Media,Daily
2012-02-29,Original,99.4728461699803,Media,Daily
2012-02-29,Linear,-0.216667440039864,Media,Daily
2012-02-29,Loess (0.1),0.139346363570752,Media,Daily
2012-02-29,Loess (0.25),0.454532280717231,Media,Daily
2012-02-29,First Difference,-0.651978782687081,Media,Daily
2012-03-01,Original,100.745880292756,Media,Daily
2012-03-01,Linear,1.05625544628086,Media,Daily
