fecha,promedio_normalizado,indice_cti,Data,Temporalidad
2012-01-01,-1.73496738305646,98.2650326169436,Medios,Diario
2012-01-02,-0.126861211436576,99.8731387885634,Medios,Diario
2012-01-03,-1.04247088397758,98.9575291160224,Medios,Diario
2012-01-04,-1.5785972058451,98.4214027941549,Medios,Diario
2012-01-05,-0.602032497590253,99.3979675024097,Medios,Diario
2012-01-06,-1.82473544775186,98.1752645522482,Medios,Diario
2012-01-07,-1.32309038033634,98.6769096196637,Medios,Diario
2012-01-08,-1.93694552862113,98.0630544713789,Medios,Diario
2012-01-09,-0.248286612956937,99.7517133870431,Medios,Diario
2012-01-10,-1.27615283016881,98.7238471698312,Medios,Diario
2012-01-11,-0.253794315582199,99.7462056844178,Medios,Diario
2012-01-12,-0.31499981423816,99.6850001857618,Medios,Diario
2012-01-13,0.419466169633371,100.419466169633,Medios,Diario
2012-01-14,-0.00575097892383128,99.9942490210762,Medios,Diario
2012-01-15,0.12023928731534,100.120239287315,Medios,Diario
2012-01-16,0.302377389595881,100.302377389596,Medios,Diario
2012-01-17,0.277727120114304,100.277727120114,Medios,Diario
2012-01-18,-0.416305467185958,99.583694532814,Medios,Diario
2012-01-19,-0.804643803485848,99.1953561965142,Medios,Diario
2012-01-20,0.0828359270255861,100.082835927026,Medios,Diario
2012-01-21,0.419466169633371,100.419466169633,Medios,Diario
2012-01-22,-1.85926162648087,98.1407383735191,Medios,Diario
2012-01-23,0.238455782280395,100.23845578228,Medios,Diario
2012-01-24,-1.29428779273354,98.7057122072665,Medios,Diario
2012-01-25,-0.119142218539085,99.8808577814609,Medios,Diario
2012-01-26,-0.572707177000102,99.4272928229999,Medios,Diario
2012-01-27,-0.572707177000102,99.4272928229999,Medios,Diario
2012-01-28,0.0347458923673309,100.034745892367,Medios,Diario
2012-01-29,-0.478214477320723,99.5217855226793,Medios,Diario
2012-01-30,0.0893026901710989,100.089302690171,Medios,Diario
2012-01-31,-0.73469466216475,99.2653053378353,Medios,Diario
2012-02-01,-1.55543125366564,98.4445687463344,Medios,Diario
2012-02-02,-1.00626191670548,98.9937380832945,Medios,Diario
2012-02-03,-0.572707177000102,99.4272928229999,Medios,Diario
2012-02-04,-1.91450351244727,98.0854964875527,Medios,Diario
2012-02-05,-1.03063333698478,98.9693666630152,Medios,Diario
2012-02-06,-1.88885549396287,98.1111445060371,Medios,Diario
2012-02-07,-1.73496738305646,98.2650326169436,Medios,Diario
2012-02-08,-0.92705480079777,99.0729451992022,Medios,Diario
2012-02-09,0.549651739891147,100.549651739891,Medios,Diario
2012-02-10,-0.634332850704044,99.365667149296,Medios,Diario
2012-02-11,-0.837286736102361,99.1627132638977,Medios,Diario
2012-02-12,-1.37589512427482,98.6241048757252,Medios,Diario
2012-02-13,-0.92705480079777,99.0729451992022,Medios,Diario
2012-02-14,-0.778167550395117,99.2218324496049,Medios,Diario
2012-02-15,-1.46566318897023,98.5343368110298,Medios,Diario
2012-02-16,-1.27615283016881,98.7238471698312,Medios,Diario
2012-02-17,-1.11941493943079,98.8805850605692,Medios,Diario
2012-02-18,-1.46289546075482,98.5371045392452,Medios,Diario
2012-02-19,-1.78393178198122,98.2160682180188,Medios,Diario
2012-02-20,-0.634332850704044,99.365667149296,Medios,Diario
2012-02-21,-0.92705480079777,99.0729451992022,Medios,Diario
2012-02-22,-0.56176239443297,99.438237605567,Medios,Diario
2012-02-23,-0.689433453074627,99.3105665469254,Medios,Diario
2012-02-24,-1.42314147411451,98.5768585258855,Medios,Diario
2012-02-25,-2.27357577122891,97.7264242287711,Medios,Diario
2012-02-26,-2.27357577122891,97.7264242287711,Medios,Diario
2012-02-27,-0.689433453074627,99.3105665469254,Medios,Diario
2012-02-28,-1.07666824195679,98.9233317580432,Medios,Diario
2012-02-29,-1.38714192766443,98.6128580723356,Medios,Diario
2012-03-01,0.150161975547143,100.150161975547,Medios,Diario
2012-03-02,-0.237787424103672,99.7622125758963,Medios,Diario
2012-03-03,-1.93694552862113,98.0630544713789,Medios,Diario
2012-03-04,-1.82473544775186,98.1752645522482,Medios,Diario
2012-03-05,-0.877183653744765,99.1228163462552,Medios,Diario
2012-03-06,-1.37589512427482,98.6241048757252,Medios,Diario
2012-03-07,-0.54233452353173,99.4576654764683,Medios,Diario
2012-03-08,-1.60031528601334,98.3996847139867,Medios,Diario
2012-03-09,-1.78393178198122,98.2160682180188,Medios,Diario
2012-03-10,-1.55543125366564,98.4445687463344,Medios,Diario
2012-03-11,-0.92705480079777,99.0729451992022,Medios,Diario
2012-03-12,-0.471239976252725,99.5287600237473,Medios,Diario
2012-03-13,-0.221734292476696,99.7782657075233,Medios,Diario
2012-03-14,-1.37589512427482,98.6241048757252,Medios,Diario
2012-03-15,-1.42314147411451,98.5768585258855,Medios,Diario
2012-03-16,0.0153180214660911,100.015318021466,Medios,Diario
2012-03-17,-0.590424558189985,99.40957544181,Medios,Diario
2012-03-18,-0.616319192236737,99.3836808077633,Medios,Diario
2012-03-19,-1.03063333698478,98.9693666630152,Medios,Diario
2012-03-20,-1.07666824195679,98.9233317580432,Medios,Diario
2012-03-21,-0.634332850704044,99.365667149296,Medios,Diario
2012-03-22,-0.634332850704044,99.365667149296,Medios,Diario
