time,Method,Value,Data,Frequency
2012-01-01,Original,99.0670218896948,Media,Daily
2012-01-01,Linear,-0.690743194655487,Media,Daily
2012-01-01,Loess (0.1),-0.257962338455258,Media,Daily
2012-01-01,Loess (0.25),0.396541405577608,Media,Daily
2012-01-01,First Difference,,Media,Daily
2012-01-02,Original,100.33446861771,Media,Daily
2012-01-02,Linear,0.576620755400433,Media,Daily
2012-01-02,Loess (0.1),1.01264662617334,Media,Daily
2012-01-02,Loess (0.25),1.66080684748979,Media,Daily
2012-01-02,First Difference,1.26744672801479,Media,Daily
2012-01-03,Original,99.2946295638746,Media,Daily
2012-01-03,Linear,-0.463301076390108,Media,Daily
2012-01-03,Loess (0.1),-0.0240456739068549,Media,Daily
2012-01-03,Loess (0.25),0.617791075964291,Media,Daily
2012-01-03,First Difference,-1.039839053835,Media,Daily
2012-01-04,Original,98.8785725250514,Media,Daily
2012-01-04,Linear,-0.879440893168934,Media,Daily
2012-01-04,Loess (0.1),-0.43697121061328,Media,Daily
2012-01-04,Loess (0.25),0.198561820065819,Media,Daily
2012-01-04,First Difference,-0.416057038823269,Media,Daily
2012-01-05,Original,99.2684677622447,Media,Daily
2012-01-05,Linear,-0.489628433931091,Media,Daily
2012-01-05,Loess (0.1),-0.0439594917199173,Media,Daily
2012-01-05,Loess (0.25),0.585289273002559,Media,Daily
2012-01-05,First Difference,0.3898952371934,Media,Daily
2012-01-06,Original,99.1997930329664,Media,Daily
2012-01-06,Linear,-0.558385941165033,Media,Daily
2012-01-06,Loess (0.1),-0.109532528494185,Media,Daily
2012-01-06,Loess (0.25),0.513451124489265,Media,Daily
2012-01-06,First Difference,-0.0686747292783849,Media,Daily
2012-01-07,Original,98.5359373166087,Media,Daily
2012-01-07,Linear,-1.22232443547829,Media,Daily
2012-01-07,Loess (0.1),-0.770301110322578,Media,Daily
2012-01-07,Loess (0.25),-0.153563713878299,Media,Daily
2012-01-07,First Difference,-0.663855716357702,Media,Daily
2012-01-08,Original,99.1997930329664,Media,Daily
2012-01-08,Linear,-0.558551497076148,Media,Daily
2012-01-08,Loess (0.1),-0.10337258618928,Media,Daily
2012-01-08,Loess (0.25),0.507137109897769,Media,Daily
2012-01-08,First Difference,0.663855716357702,Media,Daily
2012-01-09,Original,100.364400920541,Media,Daily
2012-01-09,Linear,0.605973612542486,Media,Daily
2012-01-09,Loess (0.1),1.06429401362779,Media,Daily
2012-01-09,Loess (0.25),1.66859426652179,Media,Daily
2012-01-09,First Difference,1.16460788757419,Media,Daily
2012-01-10,Original,99.3227292767363,Media,Daily
2012-01-10,Linear,-0.435780809217307,Media,Daily
2012-01-10,Loess (0.1),0.0256672177547728,Media,Daily
2012-01-10,Loess (0.25),0.62377598560208,Media,Daily
2012-01-10,First Difference,-1.04167164380424,Media,Daily
2012-01-11,Original,98.7572225553946,Media,Daily
2012-01-11,Linear,-1.00137030851463,Media,Daily
2012-01-11,Loess (0.1),-0.536808288746315,Media,Daily
2012-01-11,Loess (0.25),0.0551266531828105,Media,Daily
2012-01-11,First Difference,-0.565506721341762,Media,Daily
2012-01-12,Original,99.9843497886618,Media,Daily
2012-01-12,Linear,0.225674146797098,Media,Daily
2012-01-12,Loess (0.1),0.693336757492048,Media,Daily
2012-01-12,Loess (0.25),1.27911523361372,Media,Daily
2012-01-12,First Difference,1.22712723326728,Media,Daily
2012-01-13,Original,100.195576607503,Media,Daily
2012-01-13,Linear,0.436818187682624,Media,Daily
2012-01-13,Loess (0.1),0.90756821865574,Media,Daily
2012-01-13,Loess (0.25),1.48720729006287,Media,Daily
2012-01-13,First Difference,0.211226818841084,Media,Daily
2012-01-14,Original,98.8154555129698,Media,Daily
2012-01-14,Linear,-0.943385684806057,Media,Daily
2012-01-14,Loess (0.1),-0.469561172982196,Media,Daily
2012-01-14,Loess (0.25),0.103955255785408,Media,Daily
2012-01-14,First Difference,-1.38012109453312,Media,Daily
2012-01-15,Original,100.306219226896,Media,Daily
2012-01-15,Linear,0.547295251164471,Media,Daily
2012-01-15,Loess (0.1),1.02418153563262,Media,Daily
2012-01-15,Loess (0.25),1.59159178481805,Media,Daily
2012-01-15,First Difference,1.49076371392609,Media,Daily
2012-01-16,Original,99.4595626611063,Media,Daily
2012-01-16,Linear,-0.299444092580631,Media,Daily
2012-01-16,Loess (0.1),0.180491487546519,Media,Daily
2012-01-16,Loess (0.25),0.741811721189123,Media,Daily
2012-01-16,First Difference,-0.846656565789544,Media,Daily
2012-01-17,Original,99.0949737093309,Media,Daily
2012-01-17,Linear,-0.664115822311591,Media,Daily
2012-01-17,Loess (0.1),-0.181143192289738,Media,Daily
2012-01-17,Loess (0.25),0.374102890831693,Media,Daily
2012-01-17,First Difference,-0.364588951775403,Media,Daily
2012-01-18,Original,99.0853351508357,Media,Daily
2012-01-18,Linear,-0.67383715876236,Media,Daily
2012-01-18,Loess (0.1),-0.187839493389063,Media,Daily
2012-01-18,Loess (0.25),0.361348005215021,Media,Daily
2012-01-18,First Difference,-0.00963855849521167,Media,Daily
2012-01-19,Original,98.7773393952842,Media,Daily
2012-01-19,Linear,-0.981915692269462,Media,Daily
2012-01-19,Loess (0.1),-0.492904774866886,Media,Daily
2012-01-19,Loess (0.25),0.0502394062057903,Media,Daily
2012-01-19,First Difference,-0.307995755551545,Media,Daily
2012-01-20,Original,99.8636487493241,Media,Daily
2012-01-20,Linear,0.104310883814878,Media,Daily
2012-01-20,Loess (0.1),0.596323501145548,Media,Daily
2012-01-20,Loess (0.25),1.13343933265506,Media,Daily
2012-01-20,First Difference,1.0863093540399,Media,Daily
2012-01-21,Original,99.1997930329664,Media,Daily
2012-01-21,Linear,-0.559627610498396,Media,Daily
2012-01-21,Loess (0.1),-0.064624614119694,Media,Daily
2012-01-21,Loess (0.25),0.466477536776935,Media,Daily
2012-01-21,First Difference,-0.663855716357716,Media,Daily
2012-01-22,Original,99.352990505972,Media,Daily
2012-01-22,Linear,-0.40651291544832,Media,Daily
2012-01-22,Loess (0.1),0.0914693703193876,Media,Daily
2012-01-22,Loess (0.25),0.616572210535679,Media,Daily
2012-01-22,First Difference,0.153197473005633,Media,Daily
2012-01-23,Original,100.29752360393,Media,Daily
2012-01-23,Linear,0.537937404553825,Media,Daily
2012-01-23,Loess (0.1),1.03888812127251,Media,Daily
2012-01-23,Loess (0.25),1.55800572172321,Media,Daily
2012-01-23,First Difference,0.944533097957702,Media,Daily
2012-01-24,Original,99.9843497886618,Media,Daily
2012-01-24,Linear,0.224680811330408,Media,Daily
2012-01-24,Loess (0.1),0.728589331783155,Media,Daily
2012-01-24,Loess (0.25),1.24173546436512,Media,Daily
2012-01-24,First Difference,-0.313173815267859,Media,Daily
2012-01-25,Original,99.8636487493241,Media,Daily
2012-01-25,Linear,0.10389699403709,Media,Daily
2012-01-25,Loess (0.1),0.610752922228016,Media,Daily
2012-01-25,Loess (0.25),1.11794105982031,Media,Daily
2012-01-25,First Difference,-0.12070103933776,Media,Daily
2012-01-26,Original,98.5359373166087,Media,Daily
2012-01-26,Linear,-1.22389721663389,Media,Daily
2012-01-26,Loess (0.1),-0.714104045479644,Media,Daily
2012-01-26,Loess (0.25),-0.212860729015731,Media,Daily
2012-01-26,First Difference,-1.32771143271542,Media,Daily
2012-01-27,Original,99.3744919056921,Media,Daily
2012-01-27,Linear,-0.385425405506028,Media,Daily
2012-01-27,Loess (0.1),0.127295075057745,Media,Daily
2012-01-27,Loess (0.25),0.622606445236713,Media,Daily
2012-01-27,First Difference,0.838554589083415,Media,Daily
2012-01-28,Original,98.5359373166087,Media,Daily
2012-01-28,Linear,-1.224062772545,Media,Daily
2012-01-28,Loess (0.1),-0.708424684904443,Media,Daily
2012-01-28,Loess (0.25),-0.219032685184786,Media,Daily
2012-01-28,First Difference,-0.838554589083415,Media,Daily
2012-01-29,Original,99.7161252568001,Media,Daily
2012-01-29,Linear,-0.0439576103090845,Media,Daily
2012-01-29,Loess (0.1),0.474588613296589,Media,Daily
2012-01-29,Loess (0.25),0.958073519364731,Media,Daily
2012-01-29,First Difference,1.18018794019147,Media,Daily
2012-01-30,Original,99.4444620187317,Media,Daily
2012-01-30,Linear,-0.315703626333112,Media,Daily
2012-01-30,Loess (0.1),0.20574149334702,Media,Daily
2012-01-30,Loess (0.25),0.683331283553642,Media,Daily
2012-01-30,First Difference,-0.27166323806847,Media,Daily
2012-01-31,Original,100.053321811141,Media,Daily
2012-01-31,Linear,0.293073388120223,Media,Daily
2012-01-31,Loess (0.1),0.81740839520522,Media,Daily
2012-01-31,Loess (0.25),1.28911474832246,Media,Daily
2012-01-31,First Difference,0.608859792408893,Media,Daily
2012-02-01,Original,99.2440500807236,Media,Daily
2012-02-01,Linear,-0.516281120252343,Media,Daily
2012-02-01,Loess (0.1),0.010934996789004,Media,Daily
2012-02-01,Loess (0.25),0.476769292571234,Media,Daily
2012-02-01,First Difference,-0.809271730417009,Media,Daily
2012-02-02,Original,99.16074269671,Media,Daily
2012-02-02,Linear,-0.599671282221424,Media,Daily
2012-02-02,Loess (0.1),-0.0695826014512306,Media,Daily
2012-02-02,Loess (0.25),0.390390717732501,Media,Daily
2012-02-02,First Difference,-0.0833073840135228,Media,Daily
2012-02-03,Original,98.5359373166087,Media,Daily
2012-02-03,Linear,-1.22455944027835,Media,Daily
2012-02-03,Loess (0.1),-0.691606510785732,Media,Daily
2012-02-03,Loess (0.25),-0.237483386481742,Media,Daily
2012-02-03,First Difference,-0.624805380101364,Media,Daily
2012-02-04,Original,98.5359373166087,Media,Daily
2012-02-04,Linear,-1.2246422182339,Media,Daily
2012-02-04,Loess (0.1),-0.688833123804272,Media,Daily
2012-02-04,Loess (0.25),-0.240549711679179,Media,Daily
2012-02-04,First Difference,0,Media,Daily
2012-02-05,Original,98.5359373166087,Media,Daily
2012-02-05,Linear,-1.22472499618946,Media,Daily
2012-02-05,Loess (0.1),-0.686067589387136,Media,Daily
2012-02-05,Loess (0.25),-0.243613705757824,Media,Daily
2012-02-05,First Difference,0,Media,Daily
2012-02-06,Original,98.5359373166087,Media,Daily
2012-02-06,Linear,-1.22480777414502,Media,Daily
2012-02-06,Loess (0.1),-0.6833096763133,Media,Daily
2012-02-06,Loess (0.25),-0.246675436514536,Media,Daily
2012-02-06,First Difference,0,Media,Daily
2012-02-07,Original,99.0670218896948,Media,Daily
2012-02-07,Linear,-0.693805979014414,Media,Daily
2012-02-07,Loess (0.1),-0.149474580275538,Media,Daily
2012-02-07,Loess (0.25),0.281349601340153,Media,Daily
2012-02-07,First Difference,0.531084573086162,Media,Daily
2012-02-08,Original,98.8678651747875,Media,Daily
2012-02-08,Linear,-0.893045471877289,Media,Daily
2012-02-08,Loess (0.1),-0.345887931132467,Media,Daily
2012-02-08,Loess (0.25),0.0791354789297856,Media,Daily
2012-02-08,First Difference,-0.199156714907318,Media,Daily
2012-02-09,Original,98.8316721267092,Media,Daily
2012-02-09,Linear,-0.929321297911178,Media,Daily
2012-02-09,Loess (0.1),-0.379344542840499,Media,Daily
2012-02-09,Loess (0.25),0.0398870832800498,Media,Daily
2012-02-09,First Difference,-0.0361930480783315,Media,Daily
2012-02-10,Original,98.9977499888575,Media,Daily
2012-02-10,Linear,-0.763326213718408,Media,Daily
2012-02-10,Loess (0.1),-0.210536940780983,Media,Daily
2012-02-10,Loess (0.25),0.202911589991913,Media,Daily
2012-02-10,First Difference,0.166077862148327,Media,Daily
2012-02-11,Original,98.5359373166087,Media,Daily
2012-02-11,Linear,-1.22522166392281,Media,Daily
2012-02-11,Loess (0.1),-0.669626338356665,Media,Daily
2012-02-11,Loess (0.25),-0.261952513355297,Media,Daily
2012-02-11,First Difference,-0.46181267224884,Media,Daily
2012-02-12,Original,99.4210782717523,Media,Daily
2012-02-12,Linear,-0.340163486734751,Media,Daily
2012-02-12,Loess (0.1),0.218231657443098,Media,Daily
2012-02-12,Loess (0.25),0.620138867231333,Media,Daily
2012-02-12,First Difference,0.885140955143612,Media,Daily
2012-02-13,Original,98.8014796031517,Media,Daily
2012-02-13,Linear,-0.959844933290839,Media,Daily
2012-02-13,Loess (0.1),-0.398655973297196,Media,Daily
2012-02-13,Loess (0.25),-0.00250758718158295,Media,Daily
2012-02-13,First Difference,-0.619598668600531,Media,Daily
2012-02-14,Original,98.8316721267092,Media,Daily
2012-02-14,Linear,-0.929735187688966,Media,Daily
2012-02-14,Loess (0.1),-0.365758183454417,Media,Daily
2012-02-14,Loess (0.25),0.0246388715112857,Media,Daily
2012-02-14,First Difference,0.0301925235574316,Media,Daily
2012-02-15,Original,98.8014796031517,Media,Daily
2012-02-15,Linear,-0.960010489201954,Media,Daily
2012-02-15,Loess (0.1),-0.393250981080342,Media,Daily
2012-02-15,Loess (0.25),-0.00859806375964922,Media,Daily
2012-02-15,First Difference,-0.0301925235574316,Media,Daily
2012-02-16,Original,98.9293332966725,Media,Daily
2012-02-16,Linear,-0.832239573636764,Media,Daily
2012-02-16,Loess (0.1),-0.262702870760862,Media,Daily
2012-02-16,Loess (0.25),0.116212803401908,Media,Daily
2012-02-16,First Difference,0.127853693520748,Media,Daily
2012-02-17,Original,98.5359373166087,Media,Daily
2012-02-17,Linear,-1.22571833165615,Media,Daily
2012-02-17,Loess (0.1),-0.65340951193771,Media,Daily
2012-02-17,Loess (0.25),-0.28022448546362,Media,Daily
2012-02-17,First Difference,-0.393395980063829,Media,Daily
2012-02-18,Original,98.6459094027819,Media,Daily
2012-02-18,Linear,-1.11582902343844,Media,Daily
2012-02-18,Loess (0.1),-0.540752933568129,Media,Daily
2012-02-18,Loess (0.25),-0.173292258331244,Media,Daily
2012-02-18,First Difference,0.109972086173272,Media,Daily
2012-02-19,Original,99.5015456313108,Media,Daily
2012-02-19,Linear,-0.260275572865142,Media,Daily
2012-02-19,Loess (0.1),0.317563171687397,Media,Daily
2012-02-19,Loess (0.25),0.679305493120651,Media,Daily
2012-02-19,First Difference,0.855636228528852,Media,Daily
2012-02-20,Original,99.4595626611063,Media,Daily
2012-02-20,Linear,-0.302341321025143,Media,Daily
2012-02-20,Loess (0.1),0.278255693961029,Media,Daily
2012-02-20,Loess (0.25),0.634285360006516,Media,Daily
2012-02-20,First Difference,-0.0419829702044439,Media,Daily
2012-02-21,Original,98.5359373166087,Media,Daily
2012-02-21,Linear,-1.22604944347838,Media,Daily
2012-02-21,Loess (0.1),-0.642698311086107,Media,Daily
2012-02-21,Loess (0.25),-0.292375901030439,Media,Daily
2012-02-21,First Difference,-0.92362534449768,Media,Daily
2012-02-22,Original,98.9581208345868,Media,Daily
2012-02-22,Linear,-0.803948703455769,Media,Daily
2012-02-22,Loess (0.1),-0.217847375463862,Media,Daily
2012-02-22,Loess (0.25),0.12677287898218,Media,Daily
2012-02-22,First Difference,0.422183517978169,Media,Daily
2012-02-23,Original,98.8483400066593,Media,Daily
2012-02-23,Linear,-0.913812309338806,Media,Daily
2012-02-23,Loess (0.1),-0.324964476332724,Media,Daily
2012-02-23,Loess (0.25),0.0139584238660433,Media,Daily
2012-02-23,First Difference,-0.10978082792748,Media,Daily
2012-02-24,Original,99.0949737093309,Media,Daily
2012-02-24,Linear,-0.667261384622776,Media,Daily
2012-02-24,Loess (0.1),-0.0756705059668832,Media,Daily
2012-02-24,Loess (0.25),0.257559542329147,Media,Daily
2012-02-24,First Difference,0.246633702671588,Media,Daily
2012-02-25,Original,98.5359373166087,Media,Daily
2012-02-25,Linear,-1.22638055530061,Media,Daily
2012-02-25,Loess (0.1),-0.632049859138249,Media,Daily
2012-02-25,Loess (0.25),-0.304508459418244,Media,Daily
2012-02-25,First Difference,-0.559036392722277,Media,Daily
2012-02-26,Original,98.5359373166087,Media,Daily
2012-02-26,Linear,-1.22646333325617,Media,Daily
2012-02-26,Loess (0.1),-0.629395816509614,Media,Daily
2012-02-26,Loess (0.25),-0.307539161056752,Media,Daily
2012-02-26,First Difference,0,Media,Daily
2012-02-27,Original,99.16074269671,Media,Daily
2012-02-27,Linear,-0.601740731110361,Media,Daily
2012-02-27,Loess (0.1),-0.00193915948085532,Media,Daily
2012-02-27,Loess (0.25),0.314236356995949,Media,Daily
2012-02-27,First Difference,0.624805380101364,Media,Daily
2012-02-28,Original,99.7161252568001,Media,Daily
2012-02-28,Linear,-0.0464409489758096,Media,Daily
2012-02-28,Loess (0.1),0.556092143056461,Media,Daily
2012-02-28,Loess (0.25),0.866589826830492,Media,Daily
2012-02-28,First Difference,0.555382560090109,Media,Daily
2012-02-29,Original,98.8316721267092,Media,Daily
2012-02-29,Linear,-0.930976857022328,Media,Daily
2012-02-29,Loess (0.1),-0.325714547846417,Media,Daily
2012-02-29,Loess (0.25),-0.0208916895197433,Media,Daily
2012-02-29,First Difference,-0.884453130090961,Media,Daily
2012-03-01,Original,99.0670218896948,Media,Daily
2012-03-01,Linear,-0.695709871992236,Media,Daily
2012-03-01,Loess (0.1),-0.0877204177107558,Media,Daily
2012-03-01,Loess (0.25),0.211430323406177,Media,Daily
2012-03-01,First Difference,0.235349762985649,Media,Daily
2012-03-02,Original,100.152174141822,Media,Daily
2012-03-02,Linear,0.389359602179294,Media,Daily
2012-03-02,Loess (0.1),1.0000743607493,Media,Daily
2012-03-02,Loess (0.25),1.29355539387633,Media,Daily
2012-03-02,First Difference,1.08515225212709,Media,Daily
2012-03-03,Original,98.5359373166087,Media,Daily
2012-03-03,Linear,-1.22696000098951,Media,Daily
2012-03-03,Loess (0.1),-0.613521547726975,Media,Daily
2012-03-03,Loess (0.25),-0.325708112387858,Media,Daily
2012-03-03,First Difference,-1.61623682521325,Media,Daily
2012-03-04,Original,98.5359373166087,Media,Daily
2012-03-04,Linear,-1.22704277894507,Media,Daily
2012-03-04,Loess (0.1),-0.610882009364914,Media,Daily
2012-03-04,Loess (0.25),-0.328734360629554,Media,Daily
2012-03-04,First Difference,0,Media,Daily
2012-03-05,Original,99.3227292767363,Media,Daily
2012-03-05,Linear,-0.44033359677297,Media,Daily
2012-03-05,Loess (0.1),0.17854834197091,Media,Daily
2012-03-05,Loess (0.25),0.455031716268891,Media,Daily
2012-03-05,First Difference,0.786791960127658,Media,Daily
2012-03-06,Original,98.5359373166087,Media,Daily
2012-03-06,Linear,-1.22720833485619,Media,Daily
2012-03-06,Loess (0.1),-0.605606142881399,Media,Daily
2012-03-06,Loess (0.25),-0.334785829872303,Media,Daily
2012-03-06,First Difference,-0.786791960127658,Media,Daily
2012-03-07,Original,98.9152834402416,Media,Daily
2012-03-07,Linear,-0.847944989178772,Media,Daily
2012-03-07,Loess (0.1),-0.223623228684858,Media,Daily
2012-03-07,Loess (0.25),0.0415349371660909,Media,Daily
2012-03-07,First Difference,0.379346123632971,Media,Daily
2012-03-08,Original,99.4210782717523,Media,Daily
2012-03-08,Linear,-0.342232935623688,Media,Daily
2012-03-08,Loess (0.1),0.284807939898585,Media,Daily
2012-03-08,Loess (0.25),0.544304573704324,Media,Daily
2012-03-08,First Difference,0.505794831510642,Media,Daily
2012-03-09,Original,98.5359373166087,Media,Daily
2012-03-09,Linear,-1.22745666872286,Media,Daily
2012-03-09,Loess (0.1),-0.597696900441875,Media,Daily
2012-03-09,Loess (0.25),-0.343861482586306,Media,Daily
2012-03-09,First Difference,-0.885140955143612,Media,Daily
2012-03-10,Original,99.9521628448384,Media,Daily
2012-03-10,Linear,0.188686081551358,Media,Daily
2012-03-10,Loess (0.1),0.82116475154244,Media,Daily
2012-03-10,Loess (0.25),1.06933897052508,Media,Daily
2012-03-10,First Difference,1.41622552822977,Media,Daily
2012-03-11,Original,100.195576607503,Media,Daily
2012-03-11,Linear,0.432017066260289,Media,Daily
2012-03-11,Loess (0.1),1.06721487813387,Media,Daily
2012-03-11,Loess (0.25),1.30972761630305,Media,Daily
2012-03-11,First Difference,0.243413762664488,Media,Daily
2012-03-12,Original,100.185058635511,Media,Daily
2012-03-12,Linear,0.421416316313256,Media,Daily
2012-03-12,Loess (0.1),1.05933374146279,Media,Daily
2012-03-12,Loess (0.25),1.29618441786016,Media,Daily
2012-03-12,First Difference,-0.0105179719914759,Media,Daily
2012-03-13,Original,98.788834732364,Media,Daily
2012-03-13,Linear,-0.974890364789774,Media,Daily
2012-03-13,Loess (0.1),-0.334252623749748,Media,Daily
2012-03-13,Loess (0.25),-0.103064889100409,Media,Daily
2012-03-13,First Difference,-1.39622390314747,Media,Daily
2012-03-14,Original,98.7129655076374,Media,Daily
2012-03-14,Linear,-1.05084236747192,Media,Daily
2012-03-14,Loess (0.1),-0.407482627351385,Media,Daily
2012-03-14,Loess (0.25),-0.181959762798527,Media,Daily
2012-03-14,First Difference,-0.0758692247265884,Media,Daily
2012-03-15,Original,98.8154555129698,Media,Daily
2012-03-15,Linear,-0.948435140095064,Media,Daily
2012-03-15,Loess (0.1),-0.302351247600754,Media,Daily
2012-03-15,Loess (0.25),-0.0824957193928526,Media,Daily
2012-03-15,First Difference,0.102490005332413,Media,Daily
2012-03-16,Original,98.8316721267092,Media,Daily
2012-03-16,Linear,-0.932301304311248,Media,Daily
2012-03-16,Loess (0.1),-0.283491640637408,Media,Daily
2012-03-16,Loess (0.25),-0.0693054483321873,Media,Daily
2012-03-16,First Difference,0.016216613739374,Media,Daily
2012-03-17,Original,98.5359373166087,Media,Daily
2012-03-17,Linear,-1.22811889236732,Media,Daily
2012-03-17,Loess (0.1),-0.576582373195549,Media,Daily
2012-03-17,Loess (0.25),-0.368067049660155,Media,Daily
2012-03-17,First Difference,-0.295734810100512,Media,Daily
2012-03-18,Original,98.5359373166087,Media,Daily
2012-03-18,Linear,-1.22820167032288,Media,Daily
2012-03-18,Loess (0.1),-0.573937745822207,Media,Daily
2012-03-18,Loess (0.25),-0.371094357233119,Media,Daily
2012-03-18,First Difference,0,Media,Daily
2012-03-19,Original,98.7402006139495,Media,Daily
2012-03-19,Linear,-1.0240211509376,Media,Daily
2012-03-19,Loess (0.1),-0.367029805764531,Media,Daily
2012-03-19,Loess (0.25),-0.169858951607523,Media,Daily
2012-03-19,First Difference,0.20426329734083,Media,Daily
2012-03-20,Original,98.5359373166087,Media,Daily
2012-03-20,Linear,-1.22836722623399,Media,Daily
2012-03-20,Loess (0.1),-0.568648979532398,Media,Daily
2012-03-20,Loess (0.25),-0.377150792602635,Media,Daily
2012-03-20,First Difference,-0.20426329734083,Media,Daily
2012-03-21,Original,98.5359373166087,Media,Daily
2012-03-21,Linear,-1.22845000418955,Media,Daily
2012-03-21,Loess (0.1),-0.566005909590785,Media,Daily
2012-03-21,Loess (0.25),-0.380180055992739,Media,Daily
2012-03-21,First Difference,0,Media,Daily
2012-03-22,Original,98.9977499888575,Media,Daily
2012-03-22,Linear,-0.766720109896266,Media,Daily
2012-03-22,Loess (0.1),-0.101551755519068,Media,Daily
2012-03-22,Loess (0.25),0.0786025653334121,Media,Daily
2012-03-22,First Difference,0.46181267224884,Media,Daily
2012-03-23,Original,98.9878734717345,Media,Daily
2012-03-23,Linear,-0.776679404974813,Media,Daily
2012-03-23,Loess (0.1),-0.108788913425371,Media,Daily
2012-03-23,Loess (0.25),0.0656951419583862,Media,Daily
2012-03-23,First Difference,-0.00987651712298998,Media,Daily
2012-03-24,Original,98.5359373166087,Media,Daily
2012-03-24,Linear,-1.22869833805622,Media,Daily
2012-03-24,Loess (0.1),-0.558088366428123,Media,Daily
2012-03-24,Loess (0.25),-0.389272842545623,Media,Daily
2012-03-24,First Difference,-0.45193615512585,Media,Daily
2012-03-25,Original,98.5359373166087,Media,Daily
2012-03-25,Linear,-1.22878111601178,Media,Daily
2012-03-25,Loess (0.1),-0.55545485588604,Media,Daily
2012-03-25,Loess (0.25),-0.392305662846653,Media,Daily
2012-03-25,First Difference,0,Media,Daily
2012-03-26,Original,98.7256103784251,Media,Daily
2012-03-26,Linear,-1.03919083215086,Media,Daily
2012-03-26,Loess (0.1),-0.363152009595908,Media,Daily
2012-03-26,Loess (0.25),-0.205666480050837,Media,Daily
2012-03-26,First Difference,0.189673061816478,Media,Daily
2012-03-27,Original,99.3227292767363,Media,Daily
2012-03-27,Linear,-0.442154711795235,Media,Daily
2012-03-27,Loess (0.1),0.236592412633001,Media,Daily
2012-03-27,Loess (0.25),0.388417412723229,Media,Daily
2012-03-27,First Difference,0.59711889831118,Media,Daily
2012-03-28,Original,99.1049565020581,Media,Daily
2012-03-28,Linear,-0.660010264428987,Media,Daily
2012-03-28,Loess (0.1),0.0214403668292533,Media,Daily
2012-03-28,Loess (0.25),0.167608438194719,Media,Daily
2012-03-28,First Difference,-0.217772774678195,Media,Daily
2012-03-29,Original,98.7572225553946,Media,Daily
2012-03-29,Linear,-1.00782698904811,Media,Daily
2012-03-29,Loess (0.1),-0.323678180490603,Media,Daily
2012-03-29,Loess (0.25),-0.183162970429095,Media,Daily
2012-03-29,First Difference,-0.347733946663567,Media,Daily
2012-03-30,Original,99.9991046533384,Media,Daily
2012-03-30,Linear,0.233972330940203,Media,Daily
2012-03-30,Loess (0.1),0.92081345277883,Media,Daily
2012-03-30,Loess (0.25),1.05568033564781,Media,Daily
2012-03-30,First Difference,1.24188209794387,Media,Daily
2012-03-31,Original,98.5359373166087,Media,Daily
2012-03-31,Linear,-1.22927778374512,Media,Daily
2012-03-31,Loess (0.1),-0.539750747130952,Media,Daily
2012-03-31,Loess (0.25),-0.410527190652445,Media,Daily
2012-03-31,First Difference,-1.46316733672977,Media,Daily
2012-04-01,Original,98.5359373166087,Media,Daily
2012-04-01,Linear,-1.22936056170068,Media,Daily
2012-04-01,Loess (0.1),-0.537154543303998,Media,Daily
2012-04-01,Loess (0.25),-0.413568845723162,Media,Daily
2012-04-01,First Difference,0,Media,Daily
2012-04-02,Original,98.5359373166087,Media,Daily
2012-04-02,Linear,-1.22944333965624,Media,Daily
2012-04-02,Loess (0.1),-0.534565806957431,Media,Daily
2012-04-02,Loess (0.25),-0.416612034090917,Media,Daily
2012-04-02,First Difference,0,Media,Daily
2012-04-03,Original,99.2565397851781,Media,Daily
2012-04-03,Linear,-0.508923649042357,Media,Daily
2012-04-03,Loess (0.1),0.188617395990704,Media,Daily
2012-04-03,Loess (0.25),0.300945645016967,Media,Daily
2012-04-03,First Difference,0.720602468569439,Media,Daily
2012-04-04,Original,99.1503228705609,Media,Daily
2012-04-04,Linear,-0.615223341615149,Media,Daily
2012-04-04,Loess (0.1),0.0849726792968824,Media,Daily
2012-04-04,Loess (0.25),0.191682272047601,Media,Daily
